"tipo_doc_suspensiva";"instrumento";"cod_saci";"proposta";"operacao";"recebedor";"uf";"municipio_beneficiado";"unidade_caixa";"programa";"valor_repasse";"situacao_da_analise";"doc_titularidade";"doc_viabilidade_terreno";"doc_sondagem";"doc_orcamento";"doc_projetos_implantacao";"doc_projetos_complementares";"doc_ambiental";"doc_vigilancia_sanitaria";"doc_bombeiros";"doc_trabalho_social";"dt_atualizacao";"consta_base_pc32"
"Documentos apresentados";"983558";"1-2137607";"560422025";"1104545";"MUNICIPIO DE VALENCA - BA";"BA";"VALENCA";"GIGOV/SA";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"33487488.21";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985339";"1-2135861";"560522025";"1105399";"MUNICIPIO DE BENEVIDES - PA";"PA";"BENEVIDES";"GIGOV/BE";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"30000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986720";"1-2142435";"553232025";"1106104";"MUNICIPIO DE PETROPOLIS - RJ";"RJ";"PETROPOLIS";"GIGOV/NT";"novo pac - contenção de encostas";"13765885.55";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986060";"";"368542025";"1106025";"MUNICIPIO DE CASIMIRO DE ABREU - RJ";"RJ";"CASIMIRO DE ABREU";"GIGOV/NT";"novo pac - creches e pré-escolas de educação infantil";"3883482.37";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"985391";"1-2140617";"560252025";"1105600";"MUNICIPIO DE CARAPICUIBA - SP";"SP";"CARAPICUIBA";"REGOV/OS";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"29222444.13";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985351";"1-2138267";"559372025";"1105498";"MUNICIPIO DE ARAME - MA";"MA";"ARAME";"GIGOV/SL";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"29658154.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"984897";"1-2138961";"559602025";"1105145";"MUNICIPIO DE VISEU - PA";"PA";"VISEU";"GIGOV/BE";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"24000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983109";"";"385762025";"1104460";"SECRETARIA DA CULTURA";"RS";"CACHOEIRA DO SUL";"GIGOV/PO";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2644423.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"986650";"1-2141564";"552652025";"1105433";"MUNICIPIO DE VIANA - ES";"ES";"VIANA";"GIGOV/VT";"novo pac - contenção de encostas";"5152690.36";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985379";"1-2142507";"560122025";"1105539";"MUNICIPIO DE NOVA ESPERANCA DO PIRIA - PA";"PA";"NOVA ESPERANCA DO PIRIA";"GIGOV/BE";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"11178967.2";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986330";"1-2135789";"552762025";"1105589";"MUNICIPIO DE JACOBINA - BA";"BA";"JACOBINA";"GIGOV/FS";"novo pac - contenção de encostas";"3374634.01";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985390";"1-2137399";"560182025";"1105599";"MUNICIPIO DE BARRA MANSA - RJ";"RJ";"BARRA MANSA";"REGOV/VR";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"48761298.68";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986115";"1-2145576";"559972025";"1105758";"MUNICIPIO DE SAO CARLOS - SP";"SP";"SAO CARLOS";"GIGOV/PK";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"10225198.74";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986689";"1-2144331";"552932025";"1106101";"MUNICIPIO DE PEDREIRA - SP";"SP";"PEDREIRA";"GIGOV/CP";"novo pac - contenção de encostas";"4417493.6";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986069";"";"603022025";"1106119";"MUNICIPIO DE FORTALEZA - CE";"CE";"FORTALEZA";"GIGOV/FO";"novo pac - substituição propostas- escolas em tempo integral";"11093575.01";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"986707";"1-2139171";"553032025";"1105650";"MUNICIPIO DE GOVERNADOR VALADARES - MG";"MG";"GOVERNADOR VALADARES";"GIGOV/GV";"novo pac - contenção de encostas";"3600000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985355";"1-2138661";"560312025";"1105503";"MUNICIPIO DE OSASCO - SP";"SP";"OSASCO";"REGOV/OS";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"49770353.13";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985341";"1-2136680";"559622025";"1105451";"MUNICIPIO DE SAO JOAO DE MERITI - RJ";"RJ";"SAO JOAO DE MERITI";"GIGOV/RJ";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"50000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"983107";"";"385692025";"1104453";"ESTADO DO PARA";"PA";"SAO FELIX DO XINGU";"GIGOV/BE";"novo pac - ceus da cultura - propostas selecionadas – 2ª etapa";"2617182.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"985385";"1-2138879";"559682025";"1105595";"MUNICIPIO DE CURUA - PA";"PA";"CURUA";"REGOV/TR";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"10000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986745";"1-2140423";"553562025";"1105654";"MUNICIPIO DE MARECHAL DEODORO";"AL";"MARECHAL DEODORO";"GIGOV/ME";"novo pac - contenção de encostas";"12000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986109";"1-2138071";"560322025";"1105703";"MUNICIPIO DE MARAGOGI - AL";"AL";"MARAGOGI";"GIGOV/ME";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"18143734.46";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985340";"1-2143136";"559592025";"1105450";"MUNICIPIO DE BELEM - PA";"PA";"BELEM";"GIGOV/BE";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"92435817.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985488";"1-2134450";"553452025";"1105449";"MUNICIPIO DE MUCUM - RS";"RS";"MUCUM";"REGOV/CX";"novo pac - contenção de encostas";"12191113.97";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986653";"1-2143074";"552662025";"1105587";"MUNICIPIO DE CORURIPE - AL";"AL";"CORURIPE";"GIGOV/ME";"novo pac - contenção de encostas";"4044629.7";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986076";"";"365902025";"1106019";"MUNICIPIO DE TABULEIRO DO NORTE - CE";"CE";"TABULEIRO DO NORTE";"GIGOV/FO";"novo pac - creches e pré-escolas de educação infantil";"3365787.15";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"986070";"";"365802025";"1106017";"MUNICIPIO DE ICAPUI - CE";"CE";"ICAPUI";"GIGOV/FO";"novo pac - creches e pré-escolas de educação infantil";"3365787.15";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"986718";"1-2134595";"553182025";"1105651";"MUNICIPIO DE PRESIDENTE FIGUEIREDO - AM";"AM";"PRESIDENTE FIGUEIREDO";"GIGOV/MN";"novo pac - contenção de encostas";"2500929.85";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986127";"1-2136088";"560432025";"1105969";"MUNICIPIO DE ITACOATIARA - AM";"AM";"ITACOATIARA";"GIGOV/MN";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"10000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986054";"";"602952025";"1106116";"MUNICIPIO DE GRANJA - CE";"CE";"GRANJA";"GIGOV/FO";"novo pac - substituição propostas- creches e pré-escolas de educação infantil";"5458605.35";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"986347";"1-2134748";"552842025";"1105490";"MUNICIPIO DE ALMEIRIM - PA";"PA";"ALMEIRIM";"REGOV/TR";"novo pac - contenção de encostas";"11558081.85";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986660";"1-2134350";"552742025";"1105588";"MUNICIPIO DE ENCANTADO - RS";"RS";"ENCANTADO";"REGOV/CX";"novo pac - contenção de encostas";"2125066.98";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986050";"";"619682025";"1106126";"MUNICIPIO DE PACATUBA - CE";"CE";"PACATUBA";"GIGOV/FO";"novo pac - substituição propostas- creches e pré-escolas de educação infantil";"5458605.35";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"986067";"";"365172025";"1106016";"MUNICIPIO DE MACAPA - AP";"AP";"MACAPA";"GIGOV/MC";"novo pac - creches e pré-escolas de educação infantil";"3455826.15";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"NÃO"
"Documentos apresentados";"986131";"1-2143996";"559762025";"1106720";"MUNICIPIO DE PACARAIMA - RR";"RR";"PACARAIMA";"GIGOV/BV";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"12234333.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"985373";"1-2142694";"559902025";"1105537";"MUNICIPIO DE SANTANA - AP";"AP";"SANTANA";"GIGOV/MC";"novo pac - cidades sustentáveis e resilientes - subeixo prevenção a desastres - drenagem urbana";"11020595.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986743";"1-2143102";"553522025";"1107052";"MUNICIPIO DE PALMACIA - CE";"CE";"PALMACIA";"GIGOV/FO";"novo pac - contenção de encostas";"6322741.94";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986697";"1-2142687";"553002025";"1107050";"MUNICIPIO DE MACEIO - AL";"AL";"MACEIO";"GIGOV/ME";"novo pac - contenção de encostas";"2495680.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991551";"1-2161847";"688272025";"1107746";"MUNICIPIO DA ESTANCIA HIDROMINERAL LINDOIA - SP";"SP";"LINDOIA";"REGOV/JD";"novo pac - programa 2222 - ação 00tm - saneamento integrado - ogu";"11304874.03";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991557";"1-2162385";"688242025";"1107854";"MUNICIPIO DE NOVA SOURE - BA";"BA";"NOVA SOURE";"GIGOV/FS";"novo pac - programa 2222 - ação 00tm - saneamento integrado - ogu";"20015930.02";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991688";"1-2164433";"694392025";"1107947";"MUNICIPIO DE RIO DAS PEDRAS - SP";"SP";"RIO DAS PEDRAS";"GIGOV/PK";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"2480000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991662";"1-2164455";"694172025";"1107926";"MUNICIPIO DE NOSSA SENHORA DO SOCORRO - SE";"SE";"NOSSA SENHORA DO SOCORRO";"GIGOV/AJ";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"8001358.98";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991684";"1-2164153";"694352025";"1107943";"MUNICIPIO DE SANTA MARIA DA BOA VISTA - PE";"PE";"SANTA MARIA DA BOA VISTA";"REGOV/LI";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"1960246.56";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986701";"1-2143261";"553012025";"1106716";"MUNICIPIO DE JOAO PESSOA - PB";"PB";"JOAO PESSOA";"GIGOV/JP";"novo pac - contenção de encostas";"6331841.15";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986649";"1-2137459";"552642025";"1107048";"MUNICIPIO DE SABARA - MG";"MG";"SABARA";"GIGOV/BH";"novo pac - contenção de encostas";"59924148.8";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991692";"1-2164835";"694422025";"1107950";"MUNICIPIO DE CAXIAS DO SUL - RS";"RS";"CAXIAS DO SUL";"REGOV/CX";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"1200000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992891";"1-2166696";"32026";"1108170";"SERVICO DE AGUA E ESGOTO DO ESTADO DO ACRE - SANEACRE";"AC";"MANCIO LIMA";"GIGOV/RB";"novo pac – água para todos – abastecimento de água em áreas rurais";"519898.84";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992846";"1-2167680";"292026";"1108184";"ESTADO DA BAHIA";"BA";"BOM JESUS DA LAPA";"GIGOV/SA";"novo pac – água para todos – abastecimento de água em áreas rurais";"21749850.95";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992784";"1-2167495";"282026";"1108107";"ESTADO DA BAHIA";"BA";"MAETINGA";"GIGOV/SA";"novo pac – água para todos – abastecimento de água em áreas rurais";"5238086.2";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992844";"1-2166938";"2232026";"1108167";"SECRETARIA DE DESENVOLVIMENTO RURAL PESCA E COOPERATIVISMO";"RS";"HULHA NEGRA";"GIGOV/PO";"novo pac – água para todos – abastecimento de água em áreas rurais";"10045923.07";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992848";"1-2167493";"262026";"1108182";"ESTADO DA BAHIA";"BA";"ANAGE";"GIGOV/SA";"novo pac – água para todos – abastecimento de água em áreas rurais";"3163484.74";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992728";"1-2166420";"2262026";"1108129";"SECRETARIA DE DESENVOLVIMENTO RURAL PESCA E COOPERATIVISMO";"RS";"PELOTAS";"GIGOV/PO";"novo pac – água para todos – abastecimento de água em áreas rurais";"3413799.94";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991675";"1-2164574";"694272025";"1107935";"MUNICIPIO DE MOGI GUACU - SP";"SP";"MOGI GUACU";"GIGOV/PK";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"2906185.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991631";"1-2164749";"694142025";"1107923";"MUNICIPIO DE ITABAIANA - SE";"SE";"ITABAIANA";"GIGOV/AJ";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"4100000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991665";"1-2164095";"694182025";"1107888";"MUNICIPIO DE NAVIRAI - MS";"MS";"NAVIRAI";"REGOV/DD";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"2346867.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992893";"1-2166344";"52026";"1108172";"SERVICO DE AGUA E ESGOTO DO ESTADO DO ACRE - SANEACRE";"AC";"BRASILEIA";"GIGOV/RB";"novo pac – água para todos – abastecimento de água em áreas rurais";"1741944.59";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992895";"1-2166272";"1972026";"1108238";"SECRETARIA DE DESENVOLVIMENTO REGIONAL, ABASTECIMENTO, MINER";"PI";"TERESINA";"GIGOV/TE";"novo pac – água para todos – abastecimento de água em áreas rurais";"583830.39";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991560";"1-2162583";"688252025";"1107794";"MUNICIPIO DE CAMETA - PA";"PA";"CAMETA";"GIGOV/BE";"novo pac - programa 2222 - ação 00tm - saneamento integrado - ogu";"13926724.14";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"986744";"1-2143649";"553542025";"1107053";"MUNICIPIO DE PACOTI - CE";"CE";"PACOTI";"GIGOV/FO";"novo pac - contenção de encostas";"9236274.12";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991661";"1-2164141";"694162025";"1107925";"MUNICIPIO DE TAQUARITINGA - SP";"SP";"TAQUARITINGA";"GIGOV/SR";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"6930000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"999859";"1-2164812";"642742025";"1108076";"MUNICIPIO DE VITORIA - ES";"ES";"VITORIA";"GIGOV/VT";"novo pac áreas da união";"7772913.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"991702";"1-2164063";"694492025";"1107957";"MUNICIPIO DE QUATIPURU - PA";"PA";"QUATIPURU";"GIGOV/BE";"novo pac - cidades sustentáveis e resilientes - resíduos sólidos - ogu";"3919875.24";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992877";"1-2166268";"2032026";"1108205";"SECRETARIA DE DESENVOLVIMENTO REGIONAL, ABASTECIMENTO, MINER";"PI";"TERESINA";"GIGOV/TE";"novo pac – água para todos – abastecimento de água em áreas rurais";"2694996.91";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992785";"1-2167683";"302026";"1108108";"ESTADO DA BAHIA";"BA";"CASA NOVA";"GIGOV/SA";"novo pac – água para todos – abastecimento de água em áreas rurais";"4523810.2";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992839";"1-2166266";"1932026";"1108162";"SECRETARIA DE DESENVOLVIMENTO REGIONAL, ABASTECIMENTO, MINER";"PI";"TERESINA";"GIGOV/TE";"novo pac – água para todos – abastecimento de água em áreas rurais";"5066159.82";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992889";"1-2166544";"12026";"1108168";"SERVICO DE AGUA E ESGOTO DO ESTADO DO ACRE - SANEACRE";"AC";"TARAUACA";"GIGOV/RB";"novo pac – água para todos – abastecimento de água em áreas rurais";"828909.06";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992890";"1-2166553";"22026";"1108169";"SERVICO DE AGUA E ESGOTO DO ESTADO DO ACRE - SANEACRE";"AC";"FEIJO";"GIGOV/RB";"novo pac – água para todos – abastecimento de água em áreas rurais";"1434606.54";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
"Documentos apresentados";"992802";"1-2168399";"2002026";"1108125";"INSTITUTO DE AGUAS E ESGOTOS DO PIAUI";"PI";"TERESINA";"GIGOV/TE";"novo pac – água para todos – abastecimento de água em áreas rurais";"2000000.0";"Analisada com pendências";"";"";"";"";"";"";"";"";"";"";"24/06/2026";"SIM"
